timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
264000,264000,0.0,0.0,0.0,0.0,0.0,0.0
268000,268000,0.0,0.0,0.0,0.0,0.0,0.0
276000,276000,0.0,0.0,0.0,0.0,0.0,0.0
284000,284000,0.0,0.0,0.0,0.0,0.0,0.0
296000,296000,0.0,0.0,0.0,0.0,0.0,0.0
304000,304000,0.0,0.0,0.0,0.0,0.0,0.0
316000,316000,0.0,0.0,0.0,0.0,0.0,0.0
324000,324000,0.0,0.0,0.0,0.0,0.0,0.0
336000,336000,-1.3325791e-15,-1.7251442e-15,-1.9575276e-16,-6.571866e-14,-8.382236e-14,-9.533933e-15
344000,344000,-3.8847108e-17,-5.353566e-17,-4.3084364e-18,8.1585875e-14,1.0561594e-13,1.21361915e-14
356000,356000,-1.4321346e-18,2.3956764e-17,2.2631715e-18,1.2166437e-14,1.5621099e-14,1.6333464e-15
364000,364000,-2.5314213e-17,-1.6164682e-17,-5.173828e-19,2.3306251e-15,2.0771027e-15,3.716516e-16
376000,376000,-7.400484e-18,2.7927934e-18,2.087458e-19,6.77753e-16,2.1758155e-15,2.7491098e-16
384000,384000,2.2885978e-18,6.7862518e-18,3.654037e-18,1.5128679e-15,9.242872e-16,2.8681594e-16
396000,396000,1.7112477e-18,2.0354514e-17,1.007944e-18,6.490975e-17,1.627295e-15,5.7233804e-17
404000,404000,6.838468e-17,4.349878e-17,2.0140072e-18,5.7830963e-15,2.4689602e-15,9.8059264e-17
416000,416000,3.595533e-17,4.104165e-17,4.719545e-18,-1.0689955e-15,-4.10615e-16,1.4275776e-16
424000,424000,-3.004171e-17,3.0585817e-17,3.2165272e-18,-6.2714218e-15,-8.198983e-16,-5.268961e-17
436000,436000,-1.4795263e-17,1.682436e-17,1.8870217e-18,4.3901252e-16,-1.1367322e-15,-1.4208329e-16
444000,444000,-4.2392384e-17,2.8872802e-17,2.4249259e-18,-2.2018359e-15,7.38191e-16,-1.872987e-17
456000,456000,-3.002835e-17,1.982015e-17,2.1744268e-18,1.090884e-15,-9.715562e-16,3.966127e-17
464000,464000,-1.35271625e-17,-1.3559539e-17,-3.9951095e-20,1.8006019e-15,-3.0604639e-15,-2.3279504e-16
476000,476000,9.314489e-18,-2.0069845e-17,-2.6709478e-18,9.817474e-16,-1.6568626e-15,-1.6227431e-16
484000,484000,-1.6101898e-17,5.2558813e-19,-3.1218814e-18,-1.7371583e-15,1.7024364e-15,-1.06862696e-16
496000,496000,6.167476e-18,1.4142315e-17,4.8296424e-19,1.6418122e-15,8.8288187e-16,3.7369495e-16
504000,504000,-2.9317465e-17,-8.959337e-18,1.7231321e-18,-2.3961067e-15,-1.6001354e-15,1.9517229e-16
516000,516000,2.5494046e-17,2.7095413e-17,1.9911451e-18,4.0355098e-15,2.112148e-15,-2.1165132e-18
524000,524000,-2.6473452e-18,2.3405818e-17,2.6020476e-18,-1.2251442e-15,-5.4976885e-17,2.8971753e-17
536000,536000,2.8412456e-17,2.0795288e-18,2.9259043e-18,1.1735886e-15,3.2450464e-17,1.8329936e-16
544000,544000,-4.5023428e-17,1.8386859e-17,2.8779702e-18,-5.795973e-15,1.2483885e-15,1.1160276e-17
556000,556000,-4.870392e-17,2.9284675e-17,5.2311973e-18,-9.5881165e-17,8.910755e-16,1.7461833e-16
564000,564000,-1.6469062e-17,2.3329067e-17,3.6609468e-19,2.6010967e-15,-3.0325288e-16,-4.05014e-16
576000,576000,-3.0513882e-17,2.6584908e-17,-1.3117943e-18,-1.2391397e-15,2.8506584e-16,5.1613853e-17
584000,584000,1.6000155e-19,-1.5029792e-17,-3.2247874e-19,2.611905e-15,-3.7357444e-15,2.2985789e-17
596000,596000,1.0897773e-17,1.0398119e-17,2.49337e-18,2.3796798e-16,2.2952624e-15,4.1695485e-16
604000,604000,3.158067e-17,2.9133844e-17,4.7620234e-18,2.306537e-15,2.4048813e-15,2.7783242e-16
616000,616000,-1.7035044e-17,-1.4446061e-17,6.2869416e-18,-4.043837e-15,-2.874978e-15,1.5100713e-16
620000,620000,-3.2420957e-17,-1.6162267e-17,6.2896332e-18,-3.9589985e-15,-1.8235506e-15,8.638313e-17
636000,636000,-8.025416e-17,3.1532846e-17,4.4642313e-18,-3.5779044e-15,2.6593768e-15,7.831501e-18
644000,644000,-2.7593753e-17,1.32231165e-17,4.3932873e-18,3.3477923e-15,-8.672115e-16,2.2174725e-17
656000,656000,-2.3559308e-17,7.22064e-18,1.8115284e-18,3.7560511e-16,-9.958208e-16,-3.6787499e-16
660000,660000,-1.878496e-17,-1.11520995e-17,-9.40735e-19,7.2723e-16,-2.5422157e-15,-5.055151e-16
676000,676000,-1.1706674e-19,-1.4051838e-17,-1.3508909e-18,-2.1887732e-15,8.946884e-16,1.061265e-17
684000,684000,-4.435735e-17,1.2394535e-18,3.6844535e-18,-3.62978e-15,1.2132848e-15,4.3156162e-16
696000,696000,-2.3451757e-17,-2.4328068e-18,-1.1561336e-18,9.98337e-16,-6.201883e-16,-2.4727245e-16
704000,704000,4.5183097e-17,8.354225e-18,3.923196e-18,5.6182683e-15,9.579773e-16,3.3487733e-16
716000,716000,-3.520867e-17,2.070779e-17,5.9951623e-18,-4.3885256e-15,2.1559072e-15,2.8134202e-16
720000,720000,-1.9059535e-17,2.4967825e-17,4.29006e-18,-7.6653263e-16,1.6869639e-15,-2.2840717e-17
736000,736000,3.2170834e-17,1.6631121e-17,5.980565e-19,1.3092781e-15,1.4708605e-15,2.3126776e-16
744000,744000,-2.2668579e-17,-2.2676084e-19,2.159213e-18,-4.502013e-15,-1.4584117e-15,1.3696435e-16
756000,756000,-4.583188e-17,-1.20234896e-17,-8.434761e-19,-1.6337803e-15,-6.145628e-16,-4.9785338e-17
764000,764000,-3.5656444e-17,-1.5144906e-17,4.423918e-19,3.372071e-16,-4.984322e-16,6.861091e-17
772000,772000,-4.6449914e-20,5.1857185e-18,1.9094416e-18,3.0913706e-15,1.5309443e-15,1.4812854e-16
784000,784000,-1.421265e-17,-4.1967856e-18,-1.4493049e-18,-1.2534716e-16,5.0631013e-16,-5.708342e-17
796000,796000,-3.4790694e-17,1.4462606e-17,4.927934e-18,-5.697508e-16,-1.1965612e-17,5.4348387e-17
804000,804000,4.9489243e-17,1.387129e-17,2.1048388e-18,6.4359816e-15,1.513713e-16,-1.7521047e-16
816000,816000,-1.7064602e-17,3.4315377e-18,6.3835544e-19,-3.3113036e-15,-1.1964491e-15,-1.466231e-16
824000,824000,5.300989e-18,1.2360868e-17,2.5623787e-18,1.1698539e-15,7.9517875e-16,1.4903295e-16
836000,836000,-7.247372e-18,1.2140864e-17,8.821196e-19,-1.6533916e-15,-8.229736e-16,-9.382221e-17
844000,844000,-1.29585635e-17,-2.8661878e-17,2.4036268e-18,-8.706296e-16,-3.5225386e-15,1.0649837e-16
856000,856000,-1.3641173e-17,-4.395235e-18,4.7428253e-18,1.9523882e-16,7.717942e-16,5.3396335e-17
864000,864000,-1.5993847e-17,-3.0233465e-17,-2.250445e-18,-2.3601827e-16,-1.7690483e-15,-5.138656e-16
876000,876000,-7.292402e-18,3.6680653e-17,6.0943566e-19,1.052527e-15,5.027634e-15,4.5335106e-17
884000,884000,-1.25575314e-17,2.0720027e-17,1.6918979e-19,-1.4779984e-17,-3.0070728e-16,4.690685e-17
896000,896000,6.443341e-18,3.6468305e-18,7.3902376e-18,-1.2975444e-16,-3.4318757e-16,3.1033953e-16
